Display Name ,Inventory Item: Frame Size ,Inventory Item: Wheel Size ,Inventory Item: Price Point ,Inventory Item: Web Category ,Current Quantity Available 
Pedal Ranger 3 Black Blue 15in,15in,"27.5"" (650b)",Bikes 0400 - 0700,Root Catalog/Bikes/Mountain Bikes/27.5 inch,1
Pedal Thrasher 3 Black Red 15in,15in,"27.5"" (650b)",Bikes 0400 - 0700,Root Catalog/Bikes/Mountain Bikes/27.5 inch,1
Cube 21 Aim Pro 29 MD black n blue,17in,,Bikes 0700 - 1000,Root Catalog/Bikes/Mountain Bikes/27.5 inch,1
Cube 21 Attention SL 29 MD black n grey,17in,,Bikes 1000 - 1500,Root Catalog/Bikes/Mountain Bikes/27.5 inch,1
Pedal Ranger 3 Lilac Teal 17in,17in,"27.5"" (650b)",Bikes 0 - 0400,Root Catalog/Bikes/Mountain Bikes/27.5 inch,1
Pedal Thrasher 3 Black Red 17in,17in,"27.5"" (650b)",Bikes 0400 - 0700,Root Catalog/Bikes/Mountain Bikes/27.5 inch,2
Pedal Raptor Black Green 18in,18in,"27.5"" (650b)",Bikes 0 - 0400,Root Catalog/Bikes/Mountain Bikes/27.5 inch,1
Pedal Thrasher 3 Black Red 18in,18in,"27.5"" (650b)",Bikes 0400 - 0700,Root Catalog/Bikes/Mountain Bikes/27.5 inch,1
Cube 21 Aim Pro 29 LG black n blue,19in,,Bikes 0400 - 0700,Root Catalog/Bikes/Mountain Bikes/27.5 inch,1
Cube 21 Aim Pro 29 XL black n blue,21in,,Bikes 0700 - 1000,Root Catalog/Bikes/Mountain Bikes/27.5 inch,1
Silverback 21 Stride Delight 27 XS 35cm Black/Red,35cm,,Bikes 0400 - 0700,Root Catalog/Bikes/Mountain Bikes/Hardtail,1
Silverback 21 Stride Sport 27 XS 35cm Anthracite/Gloss Lime,35cm,,Bikes 0700 - 1000,Root Catalog/Bikes/Mountain Bikes/27.5 inch,1
Silverback 21 Stride Comp 27 XS 35cm Grey/Gloss Lime,35cm,"27.5"" (650b)",Bikes 0700 - 1000,Root Catalog/Bikes/Mountain Bikes/Hardtail,1
Silverback 21 Splash Delight 27 38cm Watermelon,38cm,,Bikes 0400 - 0700,Root Catalog/Bikes/Mountain Bikes/27.5 inch,1
Silverback 21 Splash 27.5 Se 38cm Black/Watermelon,38cm,,Bikes 0400 - 0700,Root Catalog/Bikes/Mountain Bikes/27.5 inch,1
Silverback 21 Stride Sport 27 SM 38cm Anthracite/Gloss Lime,38cm,,Bikes 0700 - 1000,Root Catalog/Bikes/Mountain Bikes/27.5 inch,2
Silverback 21 Stride Comp 27 SM 38cm Grey/Gloss Lime,38cm,"27.5"" (650b)",Bikes 0700 - 1000,Root Catalog/Bikes/Mountain Bikes/Hardtail,1
Silverback 21 Stride Delight 29 MD 42cm Black/Red,42cm,,Bikes 0400 - 0700,Root Catalog/Bikes/Mountain Bikes/Hardtail,2
Silverback 21 Stride Se 27.5 MD 42cm Orange/Black,42cm,,Bikes 0400 - 0700,Root Catalog/Bikes/Mountain Bikes/27.5 inch,1
Silverback 21 Stride Sport 29 MD 42cm Anthracite/Gloss Lime,42cm,,Bikes 0700 - 1000,Root Catalog/Bikes/Mountain Bikes/27.5 inch,1
Velectrix Urban+ Step Through Grey 2020 42cm,42cm,,Bikes 2000 - 3000,Root Catalog/Electric Bikes/Electric Hybrid Bikes,1
Silverback 21 Stride Comp 29 MD 42cm Grey/Gloss Lime,42cm,"29""",Bikes 0700 - 1000,Root Catalog/Bikes/Mountain Bikes/Hardtail,2
Merida21 Crossway 10 V 42cm Silk Anthracite Grey Black,42cm,700c,Bikes 0400 - 0700,Root Catalog/Bikes/Commuter & Recreation Bikes/Hybrid,2
Silverback 21 Splash 27.5 Se 43cm Black/Watermelon,43cm,,Bikes 0400 - 0700,Root Catalog/Bikes/Mountain Bikes/27.5 inch,1
Merida21 Crossway 20 43cm Blue Steel Blue White,43cm,700c,Bikes 0400 - 0700,Root Catalog/Bikes/Commuter & Recreation Bikes/Hybrid,1
Merida21 Crossway 100 43cm Teal Blue Silver Blue Lime,43cm,700c,Bikes 0700 - 1000,Root Catalog/Bikes/Commuter & Recreation Bikes/Hybrid,1
Merida21 eSpresso City 400 EQ SM Silk Blue Black,43cm,700c,Bikes 4000 - 5000,Root Catalog/Electric Bikes/Electric Hybrid Bikes,1
KTM 21 Macina Kapoho Elite MD Metallic Grey,43cm,"29"" / 27.5""",Bikes 7000 plus,Root Catalog/Electric Bikes/Electric Mountain Bikes/Electric Dual Suspension Mountain Bike,1
KTM 21 Macina Lycan 272 MD Metallic Black,43cm,"27.5"" (650b)",Bikes 5000 - 7000,,1
Merida21 Crossway 20 XS Silk Anthracite Grey Black,44cm,700c,Bikes 0700 - 1000,Root Catalog/Bikes/Commuter & Recreation Bikes/Hybrid,1
Merida21 eOne Sixty 700 MD Glossy Metallic Teal Anthracite,44cm,"29"" / 27.5""",Bikes 7000 plus,Root Catalog/Electric Bikes/Electric Mountain Bikes/Electric Dual Suspension Mountain Bike,2
Silverback 21 Stride Delight 29 LG 46cm Black/Red,46cm,,Bikes 0400 - 0700,Root Catalog/Bikes/Mountain Bikes/Hardtail,1
Silverback 21 Stride Se 27.5 LG 46cm Orange/Black,46cm,,Bikes 0400 - 0700,Root Catalog/Bikes/Mountain Bikes/27.5 inch,1
Silverback 21 Stride Sport 29 LG 46cm Anthracite/Gloss Lime,46cm,,Bikes 0700 - 1000,Root Catalog/Bikes/Mountain Bikes/27.5 inch,1
Pedal Uptown ELC Sage,46cm,,Bikes 1000 - 1500,Root Catalog/Electric Bikes/Electric Hybrid Bikes,1
Silverback 21 Stride Comp 29 LG 46cm Grey/Gloss Lime,46cm,"29""",Bikes 0700 - 1000,Root Catalog/Bikes/Mountain Bikes/Hardtail,1
Merida21 Crossway 10 V SM Silk Anthracite Grey Black,46cm,700c,Bikes 0400 - 0700,Root Catalog/Bikes/Commuter & Recreation Bikes/Hybrid,1
Merida21 Crossway 10 V 46cm Silk Anthracite Grey Black,46cm,700c,Bikes 0400 - 0700,Root Catalog/Bikes/Commuter & Recreation Bikes/Hybrid,2
Pedal Comet ST Black Orange 46cm,46cm,700c,Bikes 1000 - 1500,Root Catalog/Electric Bikes/Electric Hybrid Bikes,2
Pedal Pursuit 2 Metallic Blue 47cm,47cm,700c,Bikes 0400 - 0700,Root Catalog/Bikes/Road Bikes/Drop Bar Road,1
Merida21 Crossway 20 47cm Blue Steel Blue White,47cm,700c,Bikes 0400 - 0700,Root Catalog/Bikes/Commuter & Recreation Bikes/Hybrid,1
Merida21 Speeder 10 V W WXS Glossy Grey Black Teal,47cm,700c,Bikes 0400 - 0700,Root Catalog/Bikes/Commuter & Recreation Bikes/Flatbar Road,1
Merida21 Crossway 40 SM Xmas Red Black,47cm,700c,Bikes 0700 - 1000,Root Catalog/Bikes/Commuter & Recreation Bikes/Hybrid,1
Merida21 Crossway 20 SM Silk Anthracite Grey Black,47cm,700c,Bikes 0700 - 1000,Root Catalog/Bikes/Commuter & Recreation Bikes/Hybrid,2
Merida21 Crossway 100 47cm Teal Blue Silver Blue Lime,47cm,700c,Bikes 0700 - 1000,Root Catalog/Bikes/Commuter & Recreation Bikes/Hybrid,1
Merida21 Crossway 500 47cm Glossy Black Matt Silver,47cm,700c,Bikes 1000 - 1500,Root Catalog/Bikes/Commuter & Recreation Bikes/Hybrid,1
Merida21 Speeder 100 XS Dark Blue Blue White,47cm,700c,Bikes 1000 - 1500,Root Catalog/Bikes/Commuter & Recreation Bikes/Flatbar Road,1
Merida21 eSpresso 300 SE EQ 504Wh W WSM Silk Green Black,47cm,700c,Bikes 3000 - 4000,Root Catalog/Electric Bikes/Electric Hybrid Bikes,1
Merida21 eOne Sixty 700 LG Glossy Metallic Teal Anthracite,47cm,"29"" / 27.5""",Bikes 7000 plus,Root Catalog/Electric Bikes/Electric Mountain Bikes/Electric Dual Suspension Mountain Bike,1
Silverback 21 Splash Delight 27 48cm Watermelon,48cm,,Bikes 0400 - 0700,Root Catalog/Bikes/Mountain Bikes/27.5 inch,1
Pedal Raven 2 Dark Red 48cm,48cm,700c,Bikes 0400 - 0700,Root Catalog/Bikes/Commuter & Recreation Bikes/Hybrid,1
Merida21 Crossway 10 V SM/MD Silk Anthracite Grey Black,48cm,700c,Bikes 0400 - 0700,Root Catalog/Bikes/Commuter & Recreation Bikes/Hybrid,1
Pedal Jet 2 Black 48cm,48cm,700c,Bikes 0400 - 0700,Root Catalog/Bikes/Commuter & Recreation Bikes/Flatbar Road,2
Silverback 21 Stride Delight 29 XL 50cm Black/Red,50cm,,Bikes 0400 - 0700,Root Catalog/Bikes/Mountain Bikes/Hardtail,1
Silverback 21 Stride Se 27.5 XL 50cm Orange/Black,50cm,,Bikes 0400 - 0700,Root Catalog/Bikes/Mountain Bikes/27.5 inch,1
Silverback 21 Stride Sport 29 XL 50cm Anthracite/Gloss Lime,50cm,,Bikes 0700 - 1000,Root Catalog/Bikes/Mountain Bikes/27.5 inch,1
Silverback 21 Stride Comp 29 XL 50cm Grey/Gloss Lime,50cm,"29""",Bikes 0700 - 1000,Root Catalog/Bikes/Mountain Bikes/Hardtail,2
