"Display Name ","Inventory Item: Size ","Inventory Item: Wheel Size ","Inventory Item: Price Point ","Inventory Item: Web Category ",Current Quantity Available
BMC21 Roadmachine Two Carbon White Red MD,MD,700c,Bikes 5000 - 7000,Root Catalog/Bikes/Road Bikes/Drop Bar Road,1
KTM 21 Macina Kapoho Elite MD Metallic Grey,MD,"29"" / 27.5""",Bikes 7000 plus,Root Catalog/Electric Bikes/Electric Mountain Bikes/Electric Dual Suspension Mountain Bike,1
Merida21 eOne Sixty 700 MD Glossy Metallic Teal Anthracite,MD,"29"" / 27.5""",Bikes 7000 plus,Root Catalog/Electric Bikes/Electric Mountain Bikes/Electric Dual Suspension Mountain Bike,2
Pedal Thrasher 3 Black Red 18in,MD,"27.5"" (650b)",Bikes 0400 - 0700,Root Catalog/Bikes/Mountain Bikes/27.5 inch,1
Merida21 Big Seven 20 MD Teal Blue Lime,MD,"27.5"" (650b)",Bikes 0400 - 0700,Root Catalog/Bikes/Mountain Bikes/27.5 inch,1
Merida21 Big Seven 10 D MD Anthracite Green Silver,MD,"27.5"" (650b)",Bikes 0400 - 0700,Root Catalog/Bikes/Mountain Bikes/27.5 inch,2
Merida21 Big Seven 60 MD Purple Teal Blue,MD,"27.5"" (650b)",Bikes 0700 - 1000,Root Catalog/Bikes/Mountain Bikes/27.5 inch,1
Norco 21 Scene VLT MD Green/Green,MD,"27.5"" (650b)",Bikes 3000 - 4000,Root Catalog/Electric Bikes/Electric Hybrid Bikes,1
KTM 21 Macina Lycan 272 MD Metallic Black,MD,"27.5"" (650b)",Bikes 5000 - 7000,,1
Pedal Messenger Tokyo 52cm,SM,,Bikes 0 - 0400,Root Catalog/Bikes/Commuter & Recreation Bikes/Flatbar Road,2
Pedal Messenger Gotham 52cm,SM,,Bikes 0 - 0400,Root Catalog/Bikes/Commuter & Recreation Bikes/Flatbar Road,1
Radius Targa 20 Matte Red Black 2019 14.5in,SM,,Bikes 0400 - 0700,Root Catalog/Bikes/Mountain Bikes/27.5 inch,1
Norco Scene 3 Blue 2019 SM,SM,,Bikes 0400 - 0700,Root Catalog/Bikes/Commuter & Recreation Bikes/Hybrid,1
Pedal Messenger 3 Berlin Midnight Blue 52cm,SM,,Bikes 0400 - 0700,Root Catalog/Bikes/Commuter & Recreation Bikes/Flatbar Road,1
19Apollo Trace 10 Matte Charcoal Matte Black Matte Lime 15.5in,SM,,Bikes 0400 - 0700,Root Catalog/Bikes/Commuter & Recreation Bikes/Flatbar Road,1
Silverback 21 Stride Sport 27 SM 38cm Anthracite/Gloss Lime,SM,,Bikes 0700 - 1000,Root Catalog/Bikes/Mountain Bikes/27.5 inch,1
Norco20 Scene 3 Sunburst Yellow SM,SM,,Bikes 0700 - 1000,Root Catalog/Bikes/Commuter & Recreation Bikes/Hybrid,1
Norco Scene VLT 27.5 Blue Yellow 2020 SM,SM,,Bikes 3000 - 4000,Root Catalog/Electric Bikes/Electric Hybrid Bikes,2
Norco Scene VLT 27.5 Black Silver 2020 SM,SM,,Bikes 3000 - 4000,Root Catalog/Bikes/Commuter & Recreation Bikes/Hybrid,1
GS_BAYSW_Norco OPTIC C3 SM,SM,,Bikes 4000 - 5000,,1
Merida21 Matts 6.5 V SM Red Black,SM,"26""",Bikes 0400 - 0700,"Root Catalog/Bikes/Kids Bikes/26"" Wheel (145 - 160cm)",1
Merida21 Matts 6.5 V SM Black Green,SM,"26""",Bikes 0400 - 0700,"Root Catalog/Bikes/Kids Bikes/26"" Wheel (145 - 160cm)",2
Merida21 Speeder 20 SM Anthracite Black,SM,"29""",Bikes 0700 - 1000,Root Catalog/Bikes/Commuter & Recreation Bikes/Flatbar Road,1
Pedal Pursuit 2 Metallic Blue 47cm,SM,700c,Bikes 0400 - 0700,Root Catalog/Bikes/Road Bikes/Drop Bar Road,1
Pedal Raven 2 Dark Red 48cm,SM,700c,Bikes 0400 - 0700,Root Catalog/Bikes/Commuter & Recreation Bikes/Hybrid,1
Norco 21 XFR 3 SM Green/Black,SM,700c,Bikes 0400 - 0700,Root Catalog/Bikes/Commuter & Recreation Bikes/Hybrid,1
Merida21 Crossway 10 V SM Silk Anthracite Grey Black,SM,700c,Bikes 0400 - 0700,Root Catalog/Bikes/Commuter & Recreation Bikes/Hybrid,1
Pedal Jet 2 Black 48cm,SM,700c,Bikes 0400 - 0700,Root Catalog/Bikes/Commuter & Recreation Bikes/Flatbar Road,2
Merida21 Crossway 40 SM Xmas Red Black,SM,700c,Bikes 0700 - 1000,Root Catalog/Bikes/Commuter & Recreation Bikes/Hybrid,1
Merida21 Crossway 20 SM Silk Anthracite Grey Black,SM,700c,Bikes 0700 - 1000,Root Catalog/Bikes/Commuter & Recreation Bikes/Hybrid,2
Merida21 Speeder 100 SM Dark Blue Blue White,SM,700c,Bikes 1000 - 1500,Root Catalog/Bikes/Commuter & Recreation Bikes/Flatbar Road,1
Merida21 Speeder 100 SM Matt Cool Grey Blue Red,SM,700c,Bikes 1000 - 1500,Root Catalog/Bikes/Commuter & Recreation Bikes/Flatbar Road,1
Cube 21 Nature Hybrid ONE 400 SM black n red,SM,700c,Bikes 2000 - 3000,Root Catalog/Electric Bikes/Electric Hybrid Bikes,1
